frame_duration_us,requested_fps,run_ok,cam0_fps,cam0_frames,cam0_ms_per_frame,cam1_fps,cam1_frames,cam1_ms_per_frame,note
3400,294.12,True,281.85,1410,3.548,282.07,1411,3.545,
3200,312.5,True,299.62,1499,3.338,299.83,1500,3.335,
3000,333.33,True,319.47,1598,3.13,319.45,1598,3.13,
2800,357.14,True,342.12,1711,2.923,341.94,1710,2.924,
2600,384.62,True,368.98,1845,2.71,368.73,1844,2.712,
2400,416.67,True,398.91,1995,2.507,398.11,1991,2.512,
2200,454.55,True,431.88,2160,2.315,430.69,2154,2.322,
2000,500.0,True,474.39,2372,2.108,472.35,2362,2.117,
1900,526.32,True,497.81,2490,2.009,496.62,2484,2.014,
1850,540.54,True,507.85,2540,1.969,508.6,2543,1.966,
1825,547.95,True,512.62,2564,1.951,510.42,2553,1.959,
1800,555.56,True,511.58,2559,1.955,511.81,2560,1.954,
